PostID,CommentTime,CommenterID,CommentContent
4109,2018-03-31T11:00:09Z,150,emoji sparkling heart emoji OK hand
4110,2018-03-30T23:18:18Z,427,Haha echt leuk man moest net ec ht ff lachen irl dat betekend in real life xD :p emoji smiling face with heart-eyes emoji smiling face with heart-eyes emoji smiling face with heart-eyes
4105,2018-03-31T09:53:01Z,181,@maaike de koning
4094,2018-03-31T10:05:41Z,195,Funnnn
4069,2018-03-31T09:02:17Z,449,Whooooooo
4037,2018-03-30T00:42:53Z,107,@koen
4033,2018-03-30T23:18:06Z,427,Nee sad
4029,2018-03-30T09:20:08Z,354,:(
4030,2018-03-31T10:08:23Z,195,Diep
3998,2018-03-30T23:17:47Z,427,Cute
3997,2018-03-28T23:22:53Z,210,@louanne @steven
3996,2018-03-28T21:13:57Z,468,emoji thumbs up 1/2 emoji thumbs up 1/2
3994,2018-03-29T19:26:04Z,197,Cool
3993,2018-03-29T09:33:08Z,389,emoji folded hands
4185,2018-04-02T21:59:41Z,179,Cutieeeee emoji red heart
4182,2018-04-02T14:26:57Z,197,Hihi vet grappig xoxo
4169,2018-04-02T00:03:17Z,179,Schattig
4166,2018-04-02T19:46:46Z,268,Lekker nummertje hoor
4164,2018-04-01T22:35:52Z,366,emoji grinning face
4160,2018-04-02T10:12:09Z,312,emoji smiling face with heart-eyes emoji pig face
4158,2018-04-01T18:17:23Z,301,Lekkaaa
4147,2018-04-01T10:28:12Z,365,emoji grinning face with smiling eyes
4143,2018-03-31T17:31:32Z,197,Ja is goed
4244,2018-04-05T12:15:50Z,179,Leuk!
4237,2018-04-05T10:28:18Z,427,<3
4229,2018-04-05T01:20:42Z,398,emoji face with tears of joy
4228,2018-04-04T21:21:02Z,333,Gouden gozert
4217,2018-04-04T09:05:14Z,139,emoji face with tears of joy emoji face with tears of joy
4213,2018-04-04T17:40:07Z,197,Lit
4212,2018-04-04T09:33:22Z,366,@Tamara
4208,2018-04-03T19:16:07Z,297,emoji smiling face with heart-eyes
4547,2018-04-07T10:46:46Z,293,Veel plezier Deborah en Kim
4546,2018-04-07T11:10:20Z,297,Hi Dion ga je lekker
4534,2018-04-07T11:11:21Z,297,emoji loudly crying face
4531,2018-04-07T11:11:43Z,297,emoji tongue
4276,2018-04-07T14:36:15Z,398,holly!
4270,2018-04-06T19:09:00Z,366,emoji face with tears of joy
4268,2018-04-06T09:15:54Z,207,@Mike @louanne @Lara @marieke gisteren sd emoji loudly crying face
4269,2018-04-06T23:25:19Z,233,@fleurslobbe @ruthvandegeer
4258,2018-04-08T19:58:20Z,394,Goeie ouwe tijd
4250,2018-04-05T20:50:09Z,297,Dionnnn weeer
4244,2018-04-05T12:15:50Z,179,Leuk!
4585,2018-04-09T09:04:16Z,468,NA
4574,2018-04-09T00:56:49Z,356,Goed gedaan!
4573,2018-04-08T10:43:21Z,366,Cute!
4567,2018-04-08T17:51:15Z,268,#lekkergaan
4556,2018-04-08T17:30:49Z,367,emoji grinning face with sweat emoji grinning face with sweat
4553,2018-04-08T20:42:12Z,195,Gelachen hoor
4652,2018-04-11T11:17:42Z,468,emoji raising hands 1/2
4639,2018-04-10T23:05:59Z,356,Zo waar
4637,2018-04-11T09:55:26Z,229,Amen emoji folded hands 1/2
4636,2018-04-11T11:17:16Z,231,Hahahahha
4632,2018-04-10T20:11:17Z,199,Leuk wijfie
4622,2018-04-10T11:56:03Z,328,emoji raising hands 1/2 emoji raising hands 1/2 emoji raising hands 1/2
4608,2018-04-10T16:07:01Z,365,emoji grinning face with sweat
4610,2018-04-10T09:09:57Z,376,NA
4606,2018-04-10T14:14:10Z,339,Leeeuk!
4601,2018-04-10T10:15:07Z,227,sad
4600,2018-04-10T17:36:47Z,366,Hahaha
4593,2018-04-09T12:15:09Z,179,Leuk!
4592,2018-04-09T12:15:43Z,378,"Hahaha, echt hoor"
4741,2018-04-16T12:24:19Z,229,emoji face with tears of joy emoji face with tears of joy
4738,2018-04-16T12:24:58Z,229,Gefeliciteerd!! Succes emoji flexed biceps 1/2
4731,2018-04-15T11:24:55Z,297,Hoi Dion!
4732,2018-04-15T09:41:03Z,366,emoji face with tears of joy
4724,2018-04-15T23:04:11Z,356,Nee
4723,2018-04-15T00:22:33Z,395,emoji face with tears of joy emoji face with tears of joy
4714,2018-04-14T11:31:45Z,227,"Vind ik ook, snap het punt ook niet helemaal wat hier gemaakt wordt.."
4705,2018-04-14T09:12:05Z,365,emoji grinning face with smiling eyes
4704,2018-04-14T18:16:18Z,297,"Kom maar door, kom maar door emoji raising hands"
4703,2018-04-14T15:00:28Z,398,emoji smiling face with heart-eyes
4702,2018-04-14T20:26:19Z,151,Sterkte
4701,2018-04-13T23:32:28Z,432,O nee... dit komt dan natuurlijk ook hierop...
4700,2018-04-14T20:02:09Z,111,@bobvannoort
4688,2018-04-12T20:56:59Z,365,emoji heart decoration
4683,2018-04-12T18:04:09Z,197,Mooi
4682,2018-04-12T17:01:37Z,404,Ingevuld emoji smiling face with smiling eyes
4679,2018-04-12T14:49:35Z,365,NA
4680,2018-04-12T13:12:58Z,266,emoji face with tears of joy
4684,2018-04-16T09:38:08Z,339,emoji smiling face with heart-eyes emoji smiling face with heart-eyes emoji smiling face with heart-eyes emoji smiling face with heart-eyes
4831,2018-04-19T09:00:51Z,427,emoji face with tears of joy emoji face with tears of joy emoji face with tears of joy
4815,2018-04-18T22:49:55Z,111,@decondor
4810,2018-04-19T07:26:39Z,440,Mooie foto emoji smiling face with heart-eyes
4811,2018-04-18T18:16:51Z,268,Hank Green emoji raising hands 1/2
4801,2018-04-18T23:01:25Z,181,@maaike
4802,2018-04-19T09:05:06Z,460,@Fleurslobbe @Lilykramer @Irisvanbohemen @Jelynpronk
4792,2018-04-18T09:51:58Z,227,deze serie is leven
4788,2018-04-18T19:54:12Z,366,emoji thumbs up emoji OK hand
4786,2018-04-18T01:57:25Z,229,Wow echt n interessant filmpje!
4780,2018-04-18T10:03:38Z,207,emoji face with tears of joy
4781,2018-04-19T09:23:51Z,341,emoji face with tears of joy
4778,2018-04-18T02:02:40Z,229,Ingevuld! emoji flexed biceps 1/2
4779,2018-04-18T19:25:14Z,178,Hahahahah lmaoo
4756,2018-04-17T09:02:59Z,468,emoji face with tears of joy
4754,2018-04-16T13:02:25Z,389,Hup Ajax hup
4896,2018-04-23T07:41:54Z,468,emoji face with tongue
4893,2018-04-22T21:22:33Z,394,Heb m ook de volledige 20 minuten gekeken op SRS :')
4889,2018-04-22T13:37:52Z,181,Enschede :)
4884,2018-04-22T20:16:36Z,111,@bob@flo@sek@bart@cal. Letten jullie o p
4888,2018-04-22T23:56:00Z,217,emoji smiling face with heart-eyes emoji smiling face with heart-eyes
4871,2018-04-21T23:05:42Z,296,emoji red heart emoji red heart emoji red heart emoji red heart emoji red heart emoji red heart
4870,2018-04-22T12:40:42Z,199,emoji anxious face with sweat
4868,2018-04-21T14:14:49Z,339,@veere @jill @noortje
4856,2018-04-21T19:41:10Z,179,emoji red heart emoji red heart emoji red heart
4859,2018-04-22T11:20:52Z,442,emoji pensive face emoji pensive face
4853,2018-04-21T19:46:36Z,179,Schatjeeee
4838,2018-04-21T09:12:08Z,120,@Esmea Hadra
4837,2018-04-20T13:54:05Z,389,Sam en chong! Koningen
4924,2018-04-24T09:14:11Z,378,Leuke foto!
4919,2018-04-24T07:37:49Z,365,NA
4917,2018-04-24T11:05:29Z,427,Lelijk
4936,2018-04-24T21:43:03Z,227,bae
4910,2018-04-25T08:09:57Z,197,Sick
3555,2018-03-16T09:11:07Z,207,@Mike @louanne @Lara
3554,2018-03-16T17:14:50Z,222,Leuk deena
3549,2018-03-16T00:17:46Z,268,@Martijn iets voor jou?
3534,2018-03-15T11:50:28Z,304,@Esra de Lange
3535,2018-03-15T14:39:43Z,365,Cute
3536,2018-03-15T12:59:09Z,151,Hahaha
3537,2018-03-15T16:51:04Z,200,emoji party popper emoji party popper emoji party popper emoji clapping hands
3528,2018-03-15T12:48:56Z,268,Gefeliciteerd! 1/2 emoji party popper emoji fire
3516,2018-03-15T13:04:50Z,227,goeie comment wel @Denice
